,ann_ret_%,vol_%,sharpe,maxDD_%
SPUS 100%,18.2,21.4,0.85,-30.8
60 SPUS / 40 SPSK (sukuk),11.6,13.5,0.86,-21.2
60 SPUS / 40 AGG (conv bond),11.6,13.5,0.86,-23.0
