,ann_ret_%,vol_%,sharpe,maxDD_%
"IQT 70/30 (Islamic eq + sukuk), net",13.0,15.4,0.84,-23.6
SPUS 100% Islamic equity,18.2,21.4,0.85,-30.8
60/40 SPY/AGG (conventional),9.8,12.9,0.76,-21.7
70/30 SPY/AGG (conventional),11.2,14.7,0.76,-24.8
