Date,SPUS,HLAL,UMMA,AMANX,AMAGX,IMANX,AMDEX,SPSK,AGG,LQD,HYG,EMB,TLT,IEF,BGRN,MBB,VMBS,CMBS,ISDU.L,ISDE.L,ISWD.L,SPY,ACWI,URTH,VFINX,^GSPC,QAT,KSA,DX-Y.NYB,EEM,EFA,QUAL,MTUM,USMV,VLUE,QQQ,XLK,SMH,MAGS,XLF,PAXG-USD
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.16999816894531,,,,,,,,,,,,
1999-01-04,,,,7.215607643127441,4.4036173820495605,,,,,,,,,,,,,,,,,76.27217864990234,,,71.3011245727539,1228.0999755859375,,,93.44000244140625,,,,,,,,12.263304710388184,,,11.184137344360352,
1999-01-05,,,,7.274240016937256,4.474318504333496,,,,,,,,,,,,,,,,,77.14396667480469,,,72.2715835571289,1244.780029296875,,,93.47000122070312,,,,,,,,12.576852798461914,,,11.288519859313965,
1999-01-06,,,,7.402502059936523,4.595519065856934,,,,,,,,,,,,,,,,,79.00379943847656,,,73.88070678710938,1272.3399658203125,,,94.52999877929688,,,,,,,,12.948466300964355,,,11.646413803100586,
1999-01-07,,,,7.336538314819336,4.585418701171875,,,,,,,,,,,,,,,,,78.61632537841797,,,73.73670959472656,1269.72998046875,,,93.72000122070312,,,,,,,,12.907821655273438,,,11.82535457611084,
1999-01-08,,,,7.358526229858398,4.605618953704834,,,,,,,,,,,,,,,,,79.19754791259766,,,74.04975128173828,1275.0899658203125,,,94.3499984741211,,,,,,,,12.960079193115234,,,11.899922370910645,
1999-01-11,,,,7.248588562011719,4.610668659210205,,,,,,,,,,,,,,,,,78.44197082519531,,,73.39860534667969,1263.8800048828125,,,94.66000366210938,,,,,,,,13.087820053100586,,,11.720974922180176,
1999-01-12,,,,7.149642467498779,4.519768714904785,,,,,,,,,,,,,,,,,77.02779388427734,,,71.98360443115234,1239.510009765625,,,94.79000091552734,,,,,,,,12.733621597290039,,,11.392902374267578,
1999-01-13,,,,7.131318092346191,4.494519233703613,,,,,,,,,,,,,,,,,76.48528289794922,,,71.68931579589844,1234.4000244140625,,,94.25,,,,,,,,12.72782039642334,,,11.24377727508545,
1999-01-14,,,,7.036041736602783,4.438968658447266,,,,,,,,,,,,,,,,,75.1485366821289,,,70.39957427978516,1212.18994140625,,,94.02999877929688,,,,,,,,12.55362319946289,,,10.96044635772705,
1999-01-15,,,,7.182623863220215,4.550069332122803,,,,,,,,,,,,,,,,,77.105224609375,,,72.20272064208984,1243.260009765625,,,94.72000122070312,,,,,,,,12.925237655639648,,,11.273611068725586,
1999-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.72000122070312,,,,,,,,,,,,
1999-01-19,,,,7.200948715209961,4.646019458770752,,,,,,,,,,,,,,,,,77.60892486572266,,,72.70988464355469,1252.0,,,94.5199966430664,,,,,,,,13.372344970703125,,,11.213959693908691,
1999-01-20,,,,7.215607643127441,4.615718841552734,,,,,,,,,,,,,,,,,78.2288818359375,,,72.99161529541016,1256.6199951171875,,,94.72000122070312,,,,,,,,13.494277954101562,,,11.295970916748047,
1999-01-21,,,,7.164300441741943,4.519768714904785,,,,,,,,,,,,,,,,,76.15594482421875,,,71.73939514160156,1235.1600341796875,,,94.5,,,,,,,,13.145888328552246,,,11.094659805297852,
1999-01-22,,,,7.105668067932129,4.489469051361084,,,,,,,,,,,,,,,,,75.98155975341797,,,71.16337585449219,1225.18994140625,,,94.66000366210938,,,,,,,,12.913630485534668,,,11.020105361938477,
